Iteration,Bubble,Merge
1,37.3608505,0.0244678
2,36.3915761,0.0121251
3,31.458093,0.012665999
4,27.9927371,0.005781299
5,27.8337292,0.006973601
6,27.7123759,0.0088217
7,27.7193394,0.0081883
8,27.5599907,0.0087577
9,27.5906178,0.0080942
10,28.1838507,0.0066507
11,27.5864557,0.0078552
12,27.6262318,0.0111894
13,27.7675017,0.010020901
14,27.6500243,0.0065919
15,28.8164406,0.008631501
1,16.17336108,0.021068029,
2,16.51369201,0.013304477,
3,15.245439093,0.007612057,
4,15.159155459,0.01166627,
5,15.550092048,0.011538546,
6,15.285953226,0.012417307,
7,15.224244889,0.011975186,
8,15.228213159,0.01019358,
1,16.459531943,0.029453419,
2,16.422576908,0.018307118,
1,16.44896877,0.028348293,
2,16.634416238,0.018570882,
3,15.348437459,0.008469741,
4,15.76276836,0.011847838,
5,15.356504965,0.011869181,
6,15.326624421,0.015017038,
7,15.409564186,0.011940167,
8,15.396882967,0.011596212,
9,15.351650352,0.013827481,
10,15.345381262,0.005971246,
11,15.394560166,0.006206006,
12,15.346954855,0.007288827,
13,15.353641778,0.005890408,
14,15.338261673,0.007871642,
15,15.358889891,0.006054756,
1,16.442080299,0.028614017,
2,16.588095743,0.015392632,
3,14.990158954,0.009470218,
4,14.922760506,0.011160773,
1,16.360276619,0.022950266,
2,16.44614791,0.01382523,
3,14.836734139,0.007762977,
4,14.821733754,0.013332346,
5,14.927542566,0.011299474,
6,15.05586737,0.013050591,
7,14.910950944,0.013341593,
8,15.329024701,0.013329515,
9,15.062755847,0.018824465,
10,15.331554717,0.005576379,
11,15.195086405,0.00536019,
12,14.90006773,0.008205763,
13,14.909004587,0.007671393,
14,14.861199854,0.007858281,
15,14.87475256,0.005834461,
